"Country","Year","tax_rev_MLN_USD","tax_rev_PC_GDP","union_density_ADM","union_density_SVY","union_density","union_density.lin_inter","union_density.cst_inter","union_coverage","union_coverage.lin_inter","union_coverage.cst_inter","labor_share"
"Czech Republic",2008,78.828,33.454,16.8998962098708,NA,16.8998962098708,16.8998962098708,16.8998962098708,49.6283836178615,49.6283836178615,49.6283836178615,0.5861413
"Czech Republic",2009,66.605,32.283,16.6735733612851,NA,16.6735733612851,16.6735733612851,16.6735733612851,44.2873509982205,44.2873509982205,44.2873509982205,0.5855648
"Czech Republic",2010,67.447,32.476,16.1459111974884,NA,16.1459111974884,16.1459111974884,16.1459111974884,51.0589525090945,51.0589525090945,51.0589525090945,0.5907051
"Czech Republic",2011,75.914,33.259,15.4300431766483,NA,15.4300431766483,15.4300431766483,15.4300431766483,49.2075925728645,49.2075925728645,49.2075925728645,0.5980268
"Czech Republic",2012,69.979,33.677,14.8111935477802,NA,14.8111935477802,14.8111935477802,14.8111935477802,49.6911238076125,49.6911238076125,49.6911238076125,0.6066709
"Denmark",1966,3.54,29.673,56.8083658858567,NA,56.8083658858567,56.8083658858567,56.8083658858567,NA,80,80,0.6684921
"Denmark",1967,3.921,30.156,57.3618233618234,NA,57.3618233618234,57.3618233618234,57.3618233618234,NA,80,80,0.6746833
"Denmark",1968,4.452,32.896,58.6360226168542,NA,58.6360226168542,58.6360226168542,58.6360226168542,NA,80,80,0.6770847
"Denmark",1969,4.998,32.506,59.2264885920979,NA,59.2264885920979,59.2264885920979,59.2264885920979,NA,80,80,0.6718987
"Denmark",1970,6.295,36.866,60.3017419706042,NA,60.3017419706042,60.3017419706042,60.3017419706042,80,80,80,0.6804106
"Denmark",1971,7.548,39.443,62.2259517426274,NA,62.2259517426274,62.2259517426274,62.2259517426274,NA,80.2,80,0.6906741
"Denmark",1972,9.038,39.057,61.4958918356734,NA,61.4958918356734,61.4958918356734,61.4958918356734,NA,80.4,80,0.6726277
"Denmark",1973,11.869,38.517,62.2068930041152,NA,62.2068930041152,62.2068930041152,62.2068930041152,NA,80.6,80,0.6627408
"Denmark",1974,13.81,40.364,65.1541536863967,NA,65.1541536863967,65.1541536863967,65.1541536863967,NA,80.8,80,0.6935461
"Denmark",1975,14.901,36.785,68.8694049499737,NA,68.8694049499737,68.8694049499737,68.8694049499737,81,81,81,0.6974584
"Denmark",1976,16.84,37.774,72.9987493486191,NA,72.9987493486191,72.9987493486191,72.9987493486191,NA,81.2,81,0.6926737
"Denmark",1977,19.036,38.223,74.0584057230455,NA,74.0584057230455,74.0584057230455,74.0584057230455,NA,81.4,81,0.6962082
"Denmark",1978,23.798,39.399,77.843178334185,NA,77.843178334185,77.843178334185,77.843178334185,NA,81.6,81,0.6959744
"Denmark",1979,28.463,40.446,77.1039339485187,NA,77.1039339485187,77.1039339485187,77.1039339485187,NA,81.8,81,0.7001011
"Denmark",1980,29.274,41.157,77.9608534101665,NA,77.9608534101665,77.9608534101665,77.9608534101665,82,82,82,0.7046055
"Denmark",1981,25.195,40.697,79.8557093425606,NA,79.8557093425606,79.8557093425606,79.8557093425606,NA,82.2,82,0.6937467
"Denmark",1982,23.875,39.524,79.7851750428678,NA,79.7851750428678,79.7851750428678,79.7851750428678,NA,82.4,82,0.6782593
"Denmark",1983,24.96,41.158,80.1248721570155,NA,80.1248721570155,80.1248721570155,80.1248721570155,NA,82.6,82,0.6720678
"Denmark",1984,25.002,42.295,78.5758193871401,NA,78.5758193871401,78.5758193871401,78.5758193871401,NA,82.8,82,0.6561076
"Denmark",1985,27.315,43.586,77.5476554078333,NA,77.5476554078333,77.5476554078333,77.5476554078333,83,83,83,0.6541678
"Denmark",1986,40.355,45.807,76.9081388390185,NA,76.9081388390185,76.9081388390185,76.9081388390185,NA,82.964,83,0.6625602
"Denmark",1987,50.839,46.451,75.2237870330614,NA,75.2237870330614,75.2237870330614,75.2237870330614,NA,82.928,83,0.6816394
"Denmark",1988,54.233,46.925,73.0933327752898,NA,73.0933327752898,73.0933327752898,73.0933327752898,NA,82.892,83,0.6888379
"Denmark",1989,51.422,45.745,74.8743106322945,NA,74.8743106322945,74.8743106322945,74.8743106322945,NA,82.856,83,0.671988
"Denmark",1990,61.4,44.397,74.6039692320768,NA,74.6039692320768,74.6039692320768,74.6039692320768,82.82,82.82,82.82,0.6627936
